"(For Alias / PaymentProfile)","(For Alias / PaymentProfile)"
"* Required Fields","* campo obbligatorio"
"-- No Status Change --","-- Nessun cambiamento di stato --"
"3D Secure","3D Secure"
"3D Secure Authentication","3D Secure Authentication"
"3D Secure failed","3D Secure fallito"
"3D Secure sucess","La verifica 3D Secure é andata a buon fine"
"<span class=""card-expiry-format-note"">The expected format is '!format' where the 'MM' means the month number and 'YY' the year number.</span>","<span class=""card-expiry-format-note""> Il formato previsto é '!format' dove per 'MM' si intende il numero del mese e 'YY' il numero dell'anno.</span>"
"A authorized transaction cannot be authorized again.","Una transazione autorizzata non può essere autorizzata di nuovo."
"A authorized transaction cannot be marked as failed.","Una transazione autorizzata non può essere contrassegnata come non riuscita."
"A cancelled transaction cannot be authorized.","Una transazione annullata non può essere autorizzata."
"A cancelled transaction cannot be cancelled again.","Una transazione cancellata non può essere cancellata nuovamente."
"A cancelled transaction cannot be captured.","Una transazione annullata non può essere registrata."
"A cancelled transaction cannot be marked as failed.","Una transazione annullata non può essere contrassegnato come fallita."
"A cancelled transaction cannot be refunded.","Una transazione cancellata non può essere rimborsata."
"A captured transaction cannot be authorized.","Una transazione registrata non può essere autorizzata."
"A captured transaction cannot be cancelled.","Una transazione registrata non può essere annullata."
"A captured transaction cannot be marked as failed.","Una transazione registrata non può essere contrassegnata come non riuscita."
"A failed authorization cannot be authorized.","Una autorizzazione fallita non può essere autorizzata."
"A payment method may not available for customers from different counties. You can decide when this availability check should happen. We recommend to set it during authorization","Alcuni metodi di pagamento non sono disponibili in alcuni paesi. E` possibile definire il momento in cui il controllo della disponibilità deve essere eseguito. Si consiglia di mettere su 'Durante l'autorizzazione'."
"A refund was added over !amount.","Un rimborso é stato aggiunto a !amount."
"A transaction may be uncertain, when the payment is not guaranteed. For example in case the credit card does not participate in the 3D procedure.","Una transazione può essere incerta, quando il pagamento non é garantito. Per esempio nel caso la carta di credito non partecipa alla procedura 3D."
"About","A proposito di"
"Account Holder Name","Intestatario del conto"
"Account owner name.","Intestatario del conto"
"Action","Azione"
"Actions","Azioni"
"Activate","Activate"
"Active","Active"
"Additional Information","Ulteriori informazioni"
"Adjust Qty","Regolare la quantità"
"Adjustment Discount","Regolazione del discount"
"Adjustment Fee","Costi di adeguamento"
"After payment selection","Dopo la scelta del pagamento"
"Ajax authorization not supported.","Autorizzazione Ajax non supportata."
"Alias","Alias"
"Alias For Display","Alias da visualizzare"
"Alias information retrievel failed with error code:","Recupero delle informazioni sull'Alias non riuscito con codice di errore:"
"Alias information retrievel failed with error code: "" . $cardInfos['code'] . "".","Recupero delle informazioni sull'alias non riuscito con codice di errore:' . $cardInfos['code'] . '."
"All Customers","Tutti i clienti"
"Allowed Currencies","Valute accettate"
"Allowed currencies for this payment method","Valute ammesse per questo metodo di pagamento"
"Already registered?","Già iscritto?"
"Always Checkout as Guest","Effettua il checkout sempre come ospite"
"American Express","American Express"
"Amount","Importo"
"Amount Incl. Tax","Importo tasse incluse"
"Api access passcode","API Access Passcode"
"Api access passcode (Alias)","API Access Passcode (Alias)"
"Api access passcode (Alias) of the live account.","API access passcode (Alias) dell'account live"
"Api access passcode (Alias) of the test/sandbox account","API access passcode (Alias) dell'account test"
"Api access passcode (Live)","API access passcode (Live)"
"Api access passcode of the test/sandbox account","API access passcode dell'account test"
"Are you sure you want to cancel this order?","Sei sicuro di voler cancellare questo ordine?"
"Author","Autore"
"Authorization Amount","Importo autorizzazione"
"Authorization Failed","Autorizzazione non riuscita"
"Authorization Method","Metodo di autorizzazione"
"Authorization is uncertain.","Autorizzazione incerta"
"Authorized Status","Status autorizzato"
"Await Notification","Attendi la notifica"
"Awaiting confirmation","In attesa di conferma"
"BIC","BIC"
"Bad signature format.","Bad signature format."
"Bank Location","Posizione della banca"
"Bank Name","Nome della banca"
"Bank account number","Numero IBAN"
"Bank code number","Numero del codice bancario"
"Before payment selection","Prima della selezione del pagamento"
"Billing Address","Billing Address"
"Billing Information","Dati di fatturazione"
"Billing address","indirizzo di fatturazione"
"Brand Name","Brand Name"
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store.","By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store."
"By setting the capturing the reservation can be captured directly after the order or later manually over the backend of the store. The difference between 'order' and 'authorization' is that on 'order' only a check is done, but not really a reservation on the card.","Con questa opzione é possibile specificare se si desidera registrare la prenotazione subito dopo l'ordine o manualmente nel backend. Nel caso di 'Ordina'  viene fatto solo un controllo di informazioni, ma nessuna prenotazione viene effettuata sulla carta."
"CVC Code","Codice CVC"
"Cancel","Interrompere"
"Cancel ID","Cancel ID"
"Cancel pending orders when out of stock","Cancellare gli ordini pendenti quando fuori stock."
"Cancel status","Status di cancellazione"
"Canceled BeanstreamCw","____ModuleCamel___ annullato"
"Canceling of this payment not possible!","Questo pagamento non può essere cancellato!"
"Cancelled Status","Status annullato"
"Cannot update item quantity.","Impossibile aggiornare la quantità dell'articolo."
"Capture (Don't Close)","Registrazione (Non chiudere)"
"Capture Amount","Capture Amount"
"Capture ID","Capture ID"
"Capture amount","Importo contabilizzato"
"Capture information","Informazione della contabilizzazione"
"Capture status","Status di registrazione"
"Captured Amount","Importo riconosciuto"
"Captured Status","Status registrato"
"Captures","Acquisizione"
"Captures & Refunds","Registrazioni & Rimborsi"
"Capturing","Contabilizzare"
"Card Expiration","Carta di data di scadenza"
"Card Holder Name","Titolari di carte"
"Card Number","Numero di carta"
"Carrier Title","Titolo del trasportatore"
"Charging Alias: Unkown error","Charging Alias: Errore sconosciuto"
"Check out faster","Effettua il checkout più velocemente"
"Check to activate the external checkout.","Selezionare questa opzione per attivare il checkout esterno."
"Checkout","Checkout"
"Checkout as Guest","Checkout come ospite"
"Checkout as a Guest or Register","Checkout come ospite o iscriviti"
"Checkout as a new customer","Effettua il checkout come nuovo cliente"
"Checkout using your account","Effettua il checkout utilizzando il tuo account"
"Choose settlement after order in case you want an invoice to be created with your oder. The state of the invoice will set according to your capture status","Seleziona 'Creazione dopo l'ordine' se vuoi che la fattura venga creata. Lo status della fattura sarà impostato secondo lo status della registrazione"
"Company Commercial Number","Numero commerciale dell'azienda"
"Confirm Password","Conferma la password"
"Continue","Continua"
"Copy the API Access Passcode and the Haskey into the main module. You find this settings under Administration > Account Settings > Order Settings. Make sure that the Hash algorithm is set correctly in the module.","Copia il Passcode dell'accesso API e l'Haskey nel modulo principale. Puoi trovare le impostazioni in Administration > Account Settings > Order Settings. Assicurati che l'algoritmo Hash sia impostato correttamente nel modulo."
"Could not convert object of type '!type' to string.","Impossibile convertire l'oggetto di tipo '!type' in  string."
"Could not find a brand for the given card number.","Impossibile trovare un marchio in base al numero di carta fornito."
"Could not find pressed button.","Impossibile trovare il pulsante premuto."
"Could not find template file at default location '!location'.","Impossibile trovare il file template nella posizione di default '!location'."
"Could not find the payment method !paymentMethodName.","Impossibile trovare il metodo di pagamento !paymentMethodName."
"Could not load layout from URL !url. Reason: !reason","Impossibile caricare il layout dall' URL !url. motivo: !reason"
"Create Account","Crea un account"
"Create New Order - Payment","Crea un nuovo ordine - Pagamento"
"Create a recurring payment, with an existing alias is not supported","Create a recurring payment, with an existing alias is not supported"
"Creating an account has many benefits:","I numerosi vantaggi di creare un account:"
"Creation Date","Data di creazione"
"Credit Card Brands","Marche Carta di Credito"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Credit memo's total must be positive.","Il totale di nota di credito deve essere positivo."
"Currency","Valuta"
"Current Configuration Scope:","Attuale ambito di configurazione:"
"Customer Account","Account cliente"
"Customer Alias Management","Gestione dell'Alias del cliente"
"Customer successfully returned from BeanstreamCw","Il cliente é tornato con successo da BeanstreamCw."
"Customer successfully returned from Beanstream","Cliente rimandato con successo dalla pagina di pagamento ____ ModuleCamel____."
"Customer sucessfully returned from the BeanstreamCw payment page.","Cliente rimandato con successo dalla pagina di pagamento ____ ModuleCamel____."
"Customers","Clienti"
"Customweb","Customweb"
"Date","Data"
"Date of Birth","Data di nascita"
"Day","Giorno"
"Deactivate","Deactivate"
"Dear customer we have received your billing and shipping information. In order to finish your order please create an account below or checkout as guest.","Gentile cliente abbiamo ricevuto le sue informazioni  di  fatturazione e  spedizione. Per concludere il tuo ordine,  vai alla cassa, crea un nuovo accesso o effettua il checkout come ospite."
"Dear customer, it appears to us that your payment was successful, but we are still waiting for confirmation. You can wait on this page and we will redirect you after we received the confirmation. Or you can close this window and we will send out an order confirmation email.","Gentile cliente, il suo pagamento sembra andato a buon fine, tuttavia siamo ancora in attesa di conferma. Può aspettare su questa pagina e la reindirizzeremo dopo che avremo ricevuto la conferma. Oppure può chiudere questa finestra e le invieremo una e-mail di conferma dell'ordine."
"Default Config","Configurazione predefinita"
"Deferred (authorization)","Ritardato (Autorizzazione)"
"Deferred capturing","Registrazione ritardata"
"Deferred settlement","Creazione ritardata"
"Define a maximal order total for this checkout to be available.","Definire un ordine totale massimo al fine che questo checkout sia disponibile."
"Define a minimal order total for this checkout to be available.","Definire un ordine totale minimo al fine che questo checkout sia disponibile."
"Delayed","Ritardato"
"Delete","Cancellare"
"Delivery address","Indirizzo di consegna"
"Description","Descrizione"
"Diners Club","Diners Club"
"Direct Debits","Direct Debits"
"Direct E-Banking","Direct E-Banking"
"Direct capture after order","Subito dopo l'acquisto"
"Directly after order (sale)","Subito dopo l'acquisto"
"Disabled","Disattivato"
"Discount","Sconto"
"Discount Amount","Sconto"
"Discovercard","Discover Card"
"Do only check the payment information (order)","Controlla solo le informazioni di pagamento (Ordine)"
"Don't change order status","Non cambiare lo stato dell'ordine"
"During authorization","Durante l'autorizzazione"
"Edit","Modifica"
"Edit Invoice #%s","Modifica fattura #%s"
"Email Address","Indirizzo email"
"Empty version number field name","Campo del numero vuoto"
"Enable or disable logging.","Attiva o disattiva logging."
"Enable the payment method","Attiva la modalità di pagamento"
"Enabled","Attivato"
"Enter the date on which your card expires.","Inserisci la data di scadenza della carta."
"Error during authorization.","Errore durante l'autorizzazione."
"Error with the length of the validation date.","Error with the length of the validation date."
"Excl. Tax","Escl. tasse"
"External Checkout","Checkout esterno"
"External Checkout: Guest Checkout","Checkout esterno: Checkout da ospite"
"Failed","Non andato a buon fine"
"Failed payment authorization.","L'autorizzazione é stata rifiutata."
"Figure !number:","Figure !number:"
"Forgot Your Password?","Hai dimenticato la password?"
"Forgot your password?","Hai dimenticato la password?"
"Get Update","Aggiorna"
"Hash Key (Live)","Hash Key (Live)"
"Hash Key (Test/Sandbox)","Hash Key (Test/Sandbox)"
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Authorize.net. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id})."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Beanstream. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name_{id}).","Qui è possibile inserire un prefisso d'ordine. Il prefisso consente di cambiare il numero d'ordine che viene trasmesso a Beanstream .  Il profilo deve contenere il tag {id}. Il prefisso sarà poi sostituito dal numero d'ordine (es. name-{id}). Non utilizzare '_'."
"Here you can insert an order prefix. The prefix allows you to change the order number that is transmitted to Beanstream. The prefix must contain the tag {id}. It will then be replaced by the order number (e.g. name{id})(only alphanummeric characters).","Qui é possibile inserire un prefisso per l'ordine. Il prefisso consente di modificare il numero d'ordine che viene trasmesso a Beanstream. Il prefisso deve contenere il tag {id}. Sarà poi sostituito dal numero d'ordine (ad esempio name_{id}) (solo caratteri alfanumerici)."
"Hide","Nascondi"
"IBAN","IBAN"
"IBAN number","Numero IBAN"
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore.","Se é rimasto un solo pezzo in magazzino e il pagamento del cliente che vuole comprare questo prodotto fallisce, il prodotto sarà riservato fino a quando l'ordine é cancellato (vedere l'opzione Timeout). Attivare questa opzione se si desidera che il prodotto NON sia riservato e che l'ordine con un pagamento non riuscito sia immediatamente annullato."
"If a product is in stock only once and the payment of the customer ordering this product fails or is aborted, it won't be available until the order is canceled (see timeout option below). Enable this setting to cancel the customer's pending orders when he returns to the cart page and a product is not available anymore. Be careful though: If you enable this option, there is a chance that payments are made with the corresponding order being already canceled.","Se un prodotto è disponibile solo una volta e il pagamento dell'ordine cliente il prodotto non riesce o viene interrotta, non sarà disponibile fino a quando l'ordine viene annullato (guarda l'opzione di timeout di seguito). Attiva questa impostazione per annullare gli ordini in attesa del cliente quando torna alla pagina del carrello e di un prodotto non è più disponibile. Attenzione, però: se si attiva questa opzione, c'è una possibilità che i pagamenti vengano effettuati con l'ordine corrispondente che é già stato annullato."
"If it is not applicable leave the field empty.","Se non é possibile lasciare il campo vuoto."
"If the status is 'Pending' it is unclear whether the transaction will be cancelled successfully.","Se lo stato é 'in sospeso' non é chiaro se la transazione verrà annullata correttamente."
"If the status is 'Pending' it is unclear whether the transaction will be captured successfully.","Se lo stato é 'In sospeso' non é chiaro se la transazione sarà registrata con successo."
"If the status is 'Pending' it is unclear whether the transaction will be refunded successfully.","Se lo stato é 'In sospeso' non é chiaro se la transazione sarà rimborsata con successo."
"If the test mode is selected the test account is used. Otherwise the configured account is used.","If the test mode is selected the test account is used. Otherwise the configured account is used."
"If the test mode is used, then the test credentials are used. Usually, the test credentials are the same as the live credentials.","Se si utilizza la modalità test, vengono utilizzate le credenziali test. Solitamente, le credenziali test sono le stesse di quelle live."
"If you have any issues with the module please feel free to contact us. See our <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> for more information.","Se hai problemi con il modulo non esitare a contattarci. Controlla anche <a href='https://www.sellxed.com/en/support' target='_blank'>support page</a> per ulteriori informazioni."
"If you select this checkbox, the payment will be captured at the PSP and you can not add additional captures.","Se selezioni questa opzione, il pagamento sarà registrato al PSP e non puoi aggiungere ulteriori registrazioni."
"If you would like to use recurring payments, you need our magento module ""Customweb Subscription"". For further information go to <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>.","Se si desidera utilizzare pagamenti ricorrenti, è necessario il modulo di Magento ""abbonamento CustomWeb "". Per ulteriori informazioni visitare <a href=""http://www.sellxed.com/shop/"" target=""_blank"">sellxed.com</a>."
"Image Brand Selection","Image Brand Selection"
"In some cases it may take a few seconds until the transaction is successfully authorized. When this option is enabled, the notification is awaited.","In alcuni casi possono volerci alcuni secondi prima che la transazione sia autorizzata con successo. Quando l'opzione é attivata, la notifica arriva dopo qualche secondo."
"In some cases the transaction requires a few seconds until it is successfully authorized. When this option is enabled the user is hold until the transaction reach the final state. If this is not the case in 30 seconds a message is shown to the customer, which explains the situation.","In alcuni casi l'operazione richiede alcuni secondi prima di essere autorizzata. Quando questa opzione è abilitata l'utente è trattenuto fino a quando la transazione non é andato a buon fine. Se questo non è il caso in 30 secondi viene visualizzato un messaggio al cliente che spiega la situazione."
"In your Beanstream configuration navigate to administration > account settings > order settings. In ""Payment Gateway -> Security/Authentication"" enter this key in the field ""Hash Key"". Make sure the box ""Include hash validation in Transaction Response Page redirection and Payment Gateway Response Notification"" is checked and ""SHA-1"" is selected.","Nella configurazione Beanstream passare a Administration > Account Settings > Order Settings. In 'Payment Gateway -> Security/Authentication' entrare in questa chiave nel campo 'Hash Key'. Assicurarsi che la casella 'Include hash validation in Transaction Response Page redirection and Payment Gateway Response Notification' ?? controllato e si seleziona 'SHA-1'."
"In your Beanstream configuration navigate to administration > account settings > order settings. In ""Payment Gateway -> Security/Authentication"" enter this key in the field ""Hash Key"". Make sure the box ""Include hash validation in Transaction Response Page redirection and Payment Gateway Response Notification"" is checked and ""SHA-1"" is the selected ""Hash algorithm"".","Nella configurazione Beanstream andare in Administration > account settings > order settings. In 'Payment Gateway -> Security/Authentication' inserire questa chiave nel campo 'Hash Key'. Assicurarsi che la casella 'Include hash validation in Transaction Response Page redirection and Payment Gateway Response Notification' sia selezionata e 'SHA-1' ?? il 'Hash algorithm' scelto."
"Inactive","Inactive"
"Incl. Tax","Incl. tasse"
"Information","Informazione"
"Initiate Alias: Unkown error","Avviare Alias: Errore sconosciuto"
"Invalid login or password.","Login o password non validi."
"Invoice Items","Articoli fattura"
"Invoice Settlement","Pagamento della fattura"
"Invoice Totals","Totali della fattura"
"Invoice settlement","Creazione della fattura"
"Invoice was created successfully","La fattura é stato creata con successo."
"Invoices","Fatture"
"Issue Number","Numero Issue"
"It is not possible to checkout in your country.","Non é possibile effettuare il checkout nel tuo paese."
"Item","Articolo"
"Items","Articoli"
"Items Refunded","Articoli rimborsati"
"JCB","JCB"
"Live HMAC Key","Live HMAC Key"
"Live Identifier (PBX_IDENTIFIANT)","Live Identifier (PBX_IDENTIFIANT)"
"Live Mode","Live Mode"
"Live Password","Live Password"
"Live Rang (PBX_RANG)","Live Rang (PBX_RANG)"
"Live Site ID (PBX_SITE)","Live Site ID (PBX_SITE)"
"Logging","Logging"
"Login","Login"
"Login & Register","Login & Registrati"
"Login and password are required.","Login e password richiesti."
"Mail order/telephone order authorization","Autorizzazione degli ordini via eMail/telefono"
"Manage Stores","Gestire negozi"
"Manage Beanstream Aliases","Gestisci gli alias Beanstream"
"MasterCard","Mastercard"
"Maximum Order Total","Totale massimo dell'ordine"
"Merchant ID","Merchant ID"
"Merchant Id","Merchant ID"
"Merchant Id (Live)","Merchant ID (Live)"
"Merchant Id (Live) (CAD)","Merchant Id (Live) (CAD)"
"Merchant Id (Live) (USD)","ID rivenditore (Live) (USD)"
"Merchant Id (Test/Sandbox)","Merchant IdD (Test/Sandbox)"
"Merchant Id (Test/Sandbox) (CAD)","Merchant Id (Test/Sandbox) (CAD)"
"Merchant Id (Test/Sandbox) (USD)","Merchant Id (Test/Sandbox) (USD)"
"Message","Notifica"
"Method Title","Titolo del metodo"
"Minimum Order Total","Minimo per il totale dell'ordine"
"Month","Mese"
"My Beanstream Aliases","I miei Alias Beanstream"
"New Order","Nuovo ordine"
"New Order Status","Nuovo stato dell'ordine"
"New card","Nuova carta"
"Next Update Execution Date","Data del prossimo aggiornamento"
"No","No"
"No Items","Nessun articolo"
"No additional payment information available.","Nessuna informazione di pagamento supplementare."
"No authorization method found for payment method !method.","Nessun metodo di autorizzazione trovato per il pagamento !method."
"No button returned.","Nessun tasto fornito."
"No refund possible.","Nessun rimborso possibile"
"No shipping method needed.","Nessun metodo di spedizione necessario."
"No, use the dropdown.","No, utilizzare il menu a tendina."
"Notification URL","URL di notifica"
"Only USD and CAD is supported at the moment.","Per il momento sono accettati solo USD o CAD."
"Only USD is supported at the moment.","Al momento sono supportati solo USD."
"Only an authorized transaction can be marked as finally declined.","Solo una transazione autorizzata può essere contrassegnata come Rifiutata."
"Only an uncertain transaction can be marked as finally declined.","Solo una transazione incerta può essere contrassegnata  Rifiutata."
"Only authorized transaction can be cancelled.","Solo le transazioni autorizzate possono essere cancellate."
"Only authorized transaction can be captured.","Solo le transazioni autorizzate possono essere registrate."
"Only authorized transaction can be refunded.","Solo transazioni autorizzate possono essere rimborsate."
"Only captured transaction can be refunded.","Solo le transazioni registrate possono essere rimborsate."
"Only on captured transaction the flag customer refusing to pay can be set.","E ' possibile impostare un flag per i clienti che non hanno pagato solo sulle transazioni registrate."
"Operation Mode","Modalità di funzionamento"
"Order #","Numero d'ordine"
"Order Grand Total","Totale complessivo dell'ordine"
"Order Information","Informazioni sull'ordine"
"Order Prefix","Prefisso dell'ordine"
"Order Review","Controllo ordine"
"Order Summary","Riassunto dell'ordine"
"Order Total","Totale dell'ordine"
"Order cancelled, because the customer was too long in the payment process of Beanstream.","L'ordine é stato annullato perché il cliente é rimasto troppo a lungo nel processo di pagamento di Beanstream."
"Order prefix","Order prefix"
"Order was placed using %s","L'ordine é stato effettuato usando %s"
"Orders","Ordini"
"Orders with with payments that are longer pending than the specified timeout in minutes are cancelled automatically.","Gli ordini il cui pagamento é in sospeso da più tempo del timeout definito in minuti saranno annullati automaticamente. Per utilizzare questa funzione devi impostare Magento cron."
"Paid Amount","Importo pagato"
"Partial refund not possible. You may retry with the total transaction amount.","Rimborso parziale non possibile. Riprovare con l'importo totale della transazione."
"Password","Password"
"Password and password confirmation are not equal.","La password e la conferma della password non corrispondono."
"Pay with ____paymentMethodName____","Paga con ____paymentMethodName____"
"Payment","Pagamento"
"Payment ID","Payment ID"
"Payment Id","ID pagamento"
"Payment Information","Informazioni sul pagamento"
"Payment Method","Metodo di pagamento"
"Payment captured successfully.","Pagamento salvato con successo."
"Payment could not be authorized. Cancelling order. Reason :","Il pagamento non potesse essere autorizzato. L'ordine sarà annullato. Motivo:"
"Payment details can be entered after placing the order","I dettagli di pagamento possono essere inseriti dopo avere effettuato l'ordinato."
"Payment from Applicable Countries","Payment from Applicable Countries"
"Payment from Specific Countries","Payment from Specific Countries"
"Payment from applicable countries","Pagamento da paesi applicabili"
"Payment from specific countries","Pagamento da paesi specifici"
"Payment is pending at BeanstreamCw","Pagamento in sospeso in BeanstreamCw."
"Payment method description","Descrizione di metodo di pagamento"
"Payment with %s","Pagamento con %s"
"Payment with Beanstream","Pagamenti con ____ paymentServiceProviderName____"
"Payments may be updated periodically (interval in minutes). To use this feature you have to setup magento cron","I pagamenti possono essere aggiornati automaticamente (intervallo in minuti) via API (se attivato). Per utilizzare questa funzione, il Magento Cron deve essere abilitato."
"Pending","In sospeso"
"Pending BeanstreamCw","BeanstreamCw in attesa"
"Place Order","Fare un ordine"
"Please agree to all the terms and conditions before placing the order.","Accetta i termine e le condizioni prima di fare un ordine."
"Please check the entered CVC number.","Si prega di controllare il numero CVC inserito."
"Please check the entered credit card number.","Si prega di controllare il numero di carta di credito inserito."
"Please enter here the Bank Identifier Code (BIC).","Inserisci qui il codice di identificazione bancario (BIC)."
"Please enter here the CVC code from your card. You find the code on the back of the card.","Inserisci qui il codice CVC che si trova sul retro della tua carta."
"Please enter here the International Bank Account Number (IBAN).","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"Please enter here the account holder name on the card.","Si prega di inserire qui il nome del titolare del conto sulla carta."
"Please enter here the account holder name.","Si prega di inserire qui il nome del titolare del conto."
"Please enter here the account number of your bank account.","Si prega di inserire l'IBAN (numero di conto bancario internazionale)."
"Please enter here the bank code of your bank.","Si prega di inserire il codice banca ."
"Please enter here the card holder name on the card.","Inserire qui il nome del titolare della carta."
"Please enter here the commercial number of your company.","Si prega di inserire il numero di iscrizione nel registro delle imprese."
"Please enter here the name of the account owner.","Si prega di inserire il nome del titolare del conto."
"Please enter here the number on your card.","Si prega di inserire il numero di carta di carta di credito."
"Please enter here the sales tax number of your company.","Inserisci qui la partita IVA della tua azienda."
"Please enter here your social security number.","Si prega di inserire il numero di sicurezza sociale."
"Please enter the location of your bank.","Si prega di inserire la posizione della banca."
"Please enter the name of your bank.","Si prega di inserire il nome della banca."
"Please enter your IBAN number.","Inserisci il tuo numero IBAN."
"Please enter your issue number, if there is no CVC code on your card.","Inserisci l'issue number, se non c'é alcun codice CVC sulla carta."
"Please flash or disable the cache storage and retry. If this did not help, change the authorization method to PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>.","Svuota o disabilita la memoria cache e riprova. Se non dovesse aiutare, cambia il metodo di autorizzazione in PaymentPage and <a href=""%s"" target=""_blank"">contact sellxed</a>."
